timestamp,forecast_load_kw
2026-01-01 00:00:00,252.05828857421875
2026-01-01 01:00:00,248.2728729248047
2026-01-01 02:00:00,247.4323272705078
2026-01-01 03:00:00,258.0769348144531
2026-01-01 04:00:00,257.5259094238281
2026-01-01 05:00:00,253.69390869140625
2026-01-01 06:00:00,257.80328369140625
2026-01-01 07:00:00,261.786376953125
2026-01-01 08:00:00,258.1024475097656
2026-01-01 09:00:00,258.854736328125
2026-01-01 10:00:00,261.05291748046875
2026-01-01 11:00:00,261.2812805175781
2026-01-01 12:00:00,261.2840881347656
2026-01-01 13:00:00,261.49102783203125
2026-01-01 14:00:00,258.9625549316406
2026-01-01 15:00:00,262.13385009765625
2026-01-01 16:00:00,265.3016357421875
2026-01-01 17:00:00,263.8348388671875
2026-01-01 18:00:00,265.1408386230469
2026-01-01 19:00:00,264.840576171875
2026-01-01 20:00:00,263.8380432128906
2026-01-01 21:00:00,265.74951171875
2026-01-01 22:00:00,254.76414489746094
2026-01-01 23:00:00,253.48007202148438
